code	point	date	out
1	1	2001-03-14 00:00:00	15348.00
2	1	2001-03-24 00:00:00	3663.00
3	1	2001-03-26 00:00:00	1221.00
4	1	2001-03-28 00:00:00	2075.00
5	1	2001-03-29 00:00:00	2004.00
6	1	2001-04-11 00:00:00	3195.04
7	1	2001-04-13 00:00:00	4490.00
8	1	2001-04-27 00:00:00	3110.00
9	1	2001-05-11 00:00:00	2530.00
10	2	2001-03-22 00:00:00	1440.00
11	2	2001-03-29 00:00:00	7848.00
12	2	2001-04-02 00:00:00	2040.00
13	1	2001-03-24 00:00:00	3500.00
14	2	2001-03-22 00:00:00	1440.00
15	1	2001-03-29 00:00:00	2006.00
16	3	2001-09-13 00:00:00	1200.00
17	3	2001-09-13 00:00:00	1500.00
18	3	2001-09-14 00:00:00	1150.00
